num|territorio|municipio|uf|n_com|familias|area_terr|pct|titulos|conf
202|Alto Acará|Acará|PA|1|102|12409.4000|100|ITERPA:12409.4000:2022-09-13|alta
203|Rio Grande|Bequimão|MA|1|108|1032.1306|100|ITERMA:1032.1306:2022-11-09|alta
204|Quatro Bocas|Presidente Sarney|MA|1|40|398.4774|100|ITERMA:398.4774:2022-11-09|alta
205|Marques|Carlos Chagas e Teófilo Otoni|MG|1|6|250.7647|60||media
206|Jesus|São Miguel do Guaporé|RO|1|12|5567.6207|100||media
207|Condurus|Cururupu|MA|1|56|1265.5586|100|ITERMA:1265.5586:2022-12-30|alta
208|Tijuca|Peri Mirim|MA|1|140|2447.9516|100|ITERMA:2447.9516:2022-12-30|alta
209|Petimandeua|Inhangapi|PA|1|55|302.0730|100|ITERPA:302.0730:2023-01-09|alta
210|Brejo dos Crioulos|São João da Ponte, Varzelândia e Verdelândia|MG|1|387|17302.6057|13||media
211|Rio Capim|Ipixuna do Pará|PA|1|85|8118.7137|100|ITERPA:8118.7137:2023-06-14|alta
212|Mimbó|Amarante|PI|1|72|2873.5074|100|INTERPI:2873.5074:2023-06-20|alta
213|Curral de Pedra|Abaré|BA|1|102|4515.2647|53|INCRA:2374.8485:2023-08-30|alta
214|PEAFU|Monte Alegre|PA|1|49|1525.9261|100|ITERPA:1525.9261:2023-11-06|alta
215|Vila Cardoso|Baião|PA|1|324|1121.2922|100|ITERPA:1121.2922:2023-11-06|alta
216|Camutá do Rio Ipixuna|Porto de Moz|PA|1|33|4879.0801|100|ITERPA:4879.0801:2023-11-07|alta
217|Engenho Novo|Ourém|PA|1|56|385.2366|100|ITERPA:385.2366:2023-11-07|alta
218|Paraíso|Inhangapi|PA|1|22|135.4017|100|ITERPA:135.4017:2023-11-08|alta
219|Jabaquara|Acará|PA|1|32|56.1960|100|ITERPA:56.1960:2023-11-08|alta
220|Montevidéu|Ourém|PA|1|29|49.4126|100|ITERPA:49.4126:2023-11-08|alta
221|Santa Luzia do Bom Prazer|Moju|PA|1|66|1024.1135|100|ITERPA:1024.1135:2023-11-09|alta
222|América|Bragança|PA|1|100|106.9587|100|ITERPA:106.9587:2023-11-09|alta
223|São Pedro|Castanhal|PA|1|52|13454.9600|100|ITERPA:13454.9600:2023-11-16|alta
224|Boa Esperança|Cametá|PA|1|42|503.7489|100|ITERPA:503.7489:2023-11-17|alta
225|Aturiá|Ourém|PA|1|169|428.3112|100|ITERPA:428.3112:2023-11-17|alta
226|Igarapé do Arirá|Oeiras do Pará|PA|1|56|1869.7987|100|ITERPA:1869.7987:2023-11-17|alta
227|Ilha de São Vicente|Araguatins|TO|1|48|2479.2844|100|INCRA:2479.2844:2023-11-20|alta
228|Lagoa das Pedras e Encantados de Bom Jardim|Tamboril|CE|1|67|1959.7452|34||media
229|Sítio Arruda|Araripe e Salitre|CE|1|34|334.3401|67||media
230|Deus Bem Sabe|Serrano do Maranhão|MA|1|251|1717.7214|100|ITERMA:1717.7214:2023-11-20|alta
231|Santa Cruz|Peri Mirim|MA|1|55|258.1854|100|ITERMA:258.1854:2023-11-20|alta
232|Malhada de Pretos|Peri Mirim|MA|1|53|346.8973|100|ITERMA:346.8973:2023-11-20|alta
233|Sumidouro|Queimada Nova|PI|1|56|927.3859|100||media
234|Angical|Colônia do Piauí|PI|1|90|443.9860|100||media
235|Aliança e Santa Joana|Cururupu|MA|2|221|7626.2492|100||media
236|Caiana dos Crioulos|Alagoa Grande, Matinhas e Massaranduba|PB|1|98|646.5873|69||media
237|Macacos|São Miguel do Tapuio|PI|1|65|2780.3576|100|INTERPI:2780.3576:2024-05-23|alta
238|Pitombeira|Queimada Nova|PI|1|95|1266.1976|100|INTERPI:1266.1976:2024-05-23|alta
239|Vila São João|Matias Olímpio e Campo Largo|PI|1|53|2346.8503|100|INTERPI:1514.9075:2024-06-20;INTERPI:831.9428:2024-06-20|alta
240|Escondido|Acauã|PI|1|10|277.8421|100|INTERPI:277.8421:2024-06-20|alta
241|São Martins|Paulistana|PI|1|108|2042.4504|100|INTERPI:2042.4504:2024-06-20|alta
242|Sussuarana|Piripiri|PI|1|170|1164.7046|32|INTERPI:373.8060:2024-06-20|alta
243|Volta do Riacho|Queimada Nova|PI|1|62|521.7395|100|INTERPI:521.7395:2024-06-20|alta
244|Rosa|Macapá|AP|1|17|4984.4857|84||media
245|Cafundó|Salto do Pirapora|SP|1|18|219.4462|35||media
